109年08月03日 大盤統計資訊
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","221,241,610,095","3,415,295,013","1,397,219",
"2.台灣存託憑證","80,405,567","9,738,981","1,943",
"3.受益憑證","0","0","0",
"4.ETF","8,633,804,334","548,523,893","84,345",
"5.受益證券","5,725,780","315,000","59",
"6.變更交易股票","774,120,843","56,429,690","11,998",
"7.認購(售)權證","2,505,550,060","1,800,130,000","98,719",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"13.ETN","63,792,230","6,663,000","894",
"證券合計(1+6)","222,015,730,938","3,471,724,703","1,409,217",
"總計(1~13)","233,305,008,909","5,837,095,577","1,595,177",

漲跌證券數合計
"類型","整體市場","股票",
"上漲(漲停)","3,888(25)","334(19)",
"下跌(跌停)","4,484(33)","522(1)",
"持平","464","74",
"未成交","7,421","2",
"無比價","1,363","11",
